,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
thermal generator1,60.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0,55.0,50.0,50.0,50.0,50.0,82.69233929712676,115.0,115.0,115.0,115.0,115.0,115.0,115.0,115.0
thermal generator2,52.5,61.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,50.0,50.0,50.0,50.0,50.0,50.0,50.3789473684192,100.0,100.0,100.0,100.0,100.0,100.0,100.0
thermal generator3,37.5,50.0,87.5,87.5,87.5,87.5,87.5,87.5,87.5,87.5,50.0,37.5,37.5,37.5,37.5,37.5,50.0,87.5,87.5,87.5,87.5,87.5,87.5,87.5
thermal generator4,30.0,45.0,75.0,67.9,75.0,75.0,75.0,75.0,75.0,75.0,45.0,30.0,30.0,30.0,30.0,30.0,45.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
thermal generator5,17.5,20.0,37.5,20.0,37.5,37.5,37.5,37.5,37.5,37.5,20.0,17.5,17.5,17.5,17.5,17.5,20.0,37.5,37.5,37.5,37.5,37.5,37.5,37.5
market buy,78.49999999999949,0.0,0.0,0.0,0.0,0.0,0.0,84.2,215.49530965389928,173.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.83230629605859,84.2,246.42885375494205,0.0,0.0,243.5118577075126,117.0
market sell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESS charge,-0.0,-200.0,-145.0,-200.0,-12.2,-0.0,-0.0,-0.0,-0.0,-0.0,-108.8,-92.2,-149.8,-138.6,-59.0,-67.69233929712844,-7.578947368421059,-0.0,-0.0,-0.0,-13.0,-47.0,-0.0,-0.0
ESS discharge,200.0,0.0,0.0,0.0,0.0,41.0,179.0,200.0,69.50469034610072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.1676937039414,0.0,171.37114624505796,0.0,0.0,5.488142292487339,0.0
wind power,408.0,720.0,510.0,600.0,450.0,480.0,468.0,420.0,390.0,348.0,500.0,450.0,400.0,380.0,420.0,550.0,620.0,450.0,820.0,540.0,950.0,880.0,480.0,456.0
photovoltaic,0.0,0.0,0.0,0.0,0.0,0.0,30.0,108.0,210.0,312.0,408.0,414.0,480.0,468.0,390.0,288.0,168.0,100.0,12.0,0.0,0.0,0.0,0.0,0.0
